age,job,marital,education,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
37,admin.,single,secondary,262,false,false,cellular,7,aug,305,1,179,5,other,false
25,student,single,unknown,10788,false,false,cellular,23,dec,102,2,210,2,other,false
36,management,single,tertiary,3669,false,false,cellular,20,apr,166,1,376,1,other,false
31,management,single,tertiary,2590,false,false,cellular,23,sep,103,2,484,2,other,false
31,technician,single,secondary,304,false,false,cellular,29,jan,293,2,160,2,other,false
27,technician,single,secondary,-437,false,false,cellular,4,feb,352,1,216,2,other,false
34,technician,single,secondary,1227,false,false,telephone,17,aug,122,1,109,1,other,false
36,technician,single,secondary,1407,false,false,cellular,2,mar,328,1,109,3,other,false
53,blue-collar,single,secondary,1004,false,false,cellular,13,may,393,1,84,1,other,true
26,student,single,secondary,611,false,false,cellular,13,aug,138,2,69,3,failure,false
20,student,single,unknown,179,false,false,cellular,25,mar,196,3,182,3,failure,false
31,technician,single,tertiary,424,false,false,cellular,29,jan,106,1,161,2,failure,false
32,technician,single,tertiary,696,false,true,cellular,13,aug,101,4,105,4,failure,false
33,unemployed,single,secondary,2066,false,true,cellular,9,sep,305,1,749,2,failure,true
26,admin.,single,secondary,255,false,false,cellular,30,apr,457,1,80,1,success,true
44,admin.,single,secondary,1534,false,false,cellular,10,nov,95,1,95,3,success,true
69,retired,single,tertiary,2144,false,false,cellular,29,jul,417,1,184,4,success,true
25,student,single,secondary,304,false,false,cellular,30,nov,152,1,188,2,success,false
24,student,single,secondary,1234,false,false,telephone,26,oct,280,2,97,3,success,false
28,services,single,secondary,168,false,false,cellular,1,jun,347,3,140,2,success,true
36,management,single,tertiary,538,false,false,cellular,23,jun,339,1,183,5,success,true
29,management,single,tertiary,1808,false,false,cellular,7,jul,273,2,433,1,success,true
30,unemployed,single,tertiary,1159,false,false,cellular,12,aug,95,1,68,1,success,false
31,self-employed,single,tertiary,1815,false,false,telephone,30,apr,107,1,80,1,success,false
43,admin.,single,secondary,56831,false,false,unknown,15,may,243,1,-1,0,unknown,false
46,admin.,single,unknown,0,false,false,unknown,23,may,378,2,-1,0,unknown,false
29,admin.,single,secondary,130,false,false,unknown,4,jun,134,2,-1,0,unknown,false
38,admin.,single,unknown,13,false,false,unknown,5,jun,21,1,-1,0,unknown,false
41,admin.,single,secondary,26,false,false,cellular,8,jul,428,1,-1,0,unknown,false
30,admin.,single,secondary,211,false,false,cellular,10,jul,473,1,-1,0,unknown,false
26,admin.,single,secondary,443,false,false,cellular,30,jul,84,3,-1,0,unknown,false
29,admin.,single,secondary,1751,false,false,cellular,30,jan,150,1,-1,0,unknown,false
23,admin.,single,tertiary,0,false,false,cellular,5,mar,168,2,-1,0,unknown,false
29,admin.,single,secondary,873,false,false,cellular,5,mar,41,2,-1,0,unknown,false
26,admin.,single,tertiary,689,false,false,cellular,25,mar,78,1,-1,0,unknown,false
23,admin.,single,tertiary,314,false,true,cellular,8,apr,142,4,-1,0,unknown,true
